期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府債券_原始值,資產--對非金融機構證券投資-政府債券_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2010M01,"45,292,678",6.30,"17,749,622",11.76,"19,841,709",1.27,"1,663,094",22.32,"730,125",-4.24,"17,448,490",-0.13,"3,953,684",5.76,"335,228",8.53,"1,976,298",4.39,"775,398",37.25,"393,780",19.96,"266,959",-11.14,"1,717,236",-20.53,"1,200,639",-13.61,"28,003,347",6.03,"357,310",13.55,"2,643,479",36.42,"6,599,659",28.38,"4,162,219",-5.83,"7,461,307",-6.42,"2,316,301",3.00,"4,461,284",2.01,"1,788",-34.98,"1,120,217",25.87,"3,083,129",7.41,"9,107,500",14.30,"786,889",-9.60,"3,689,116",1.46,"-3,415,395",--
2010M02,"45,373,640",5.08,"17,771,782",6.60,"19,838,117",2.43,"1,661,093",19.23,"701,228",-3.08,"17,475,796",1.31,"4,011,839",6.26,"357,683",6.51,"1,980,211",2.08,"767,060",37.85,"396,351",20.68,"250,597",22.17,"1,782,270",-15.25,"1,309,464",17.78,"28,014,121",4.58,"338,349",7.69,"2,568,138",25.84,"6,632,570",25.87,"4,200,446",-4.67,"7,451,257",-6.28,"2,290,119",-5.23,"4,531,394",3.29,"1,848",-29.81,"996,890",16.62,"3,095,346",6.77,"9,195,234",13.90,"763,907",-10.56,"3,625,653",-10.78,"-3,409,245",--
2010M03,"45,381,995",5.19,"17,842,362",7.74,"19,787,733",2.40,"1,590,884",15.01,"681,621",-5.92,"17,515,228",1.74,"4,023,677",4.78,"367,145",11.15,"1,970,399",-2.94,"785,327",46.60,"400,142",24.24,"205,210",2.34,"1,755,510",-10.70,"1,181,309",8.75,"28,088,802",4.00,"311,338",9.76,"2,607,256",19.76,"6,631,657",20.65,"4,245,164",-2.58,"7,453,741",-5.86,"2,322,002",-3.02,"4,515,731",3.13,"1,913",-31.53,"973,575",13.79,"3,090,120",7.85,"9,328,456",14.21,"750,096",-6.39,"3,506,956",-10.85,"-3,292,829",--
2010M04,"45,511,253",5.62,"17,832,239",8.44,"19,894,437",3.06,"1,541,028",8.32,"731,024",-0.92,"17,622,385",2.80,"4,075,569",5.93,"357,389",12.82,"1,963,549",-6.33,"779,125",44.97,"406,035",20.09,"202,910",-2.35,"1,779,026",-6.03,"1,169,648",7.90,"28,169,343",3.96,"312,366",11.00,"2,649,222",18.36,"6,709,518",18.41,"4,263,598",-1.41,"7,448,411",-5.41,"2,279,532",-2.42,"4,504,537",3.03,"2,159",-20.97,"977,751",11.44,"3,091,931",7.55,"9,439,960",14.54,"750,962",-6.86,"3,389,669",-9.64,"-3,257,037",--
2010M05,"45,923,943",6.13,"18,055,116",8.80,"20,115,640",4.33,"1,519,251",9.73,"755,702",1.70,"17,840,687",4.01,"4,081,377",5.37,"346,710",11.91,"1,946,238",-8.03,"772,848",43.57,"402,594",16.58,"203,420",-4.40,"1,971,654",7.69,"1,166,536",6.86,"28,087,636",3.29,"326,461",5.35,"2,665,796",20.30,"6,573,759",11.39,"4,314,307",1.80,"7,446,217",-4.90,"2,267,566",-2.05,"4,491,782",2.51,"1,748",-14.98,"1,070,347",18.53,"3,108,276",8.28,"9,554,036",15.02,"746,225",-7.02,"3,393,259",-8.59,"-3,174,026",--
2010M06,"46,027,041",6.09,"18,094,750",7.38,"20,208,566",4.65,"1,437,753",8.62,"761,382",2.60,"18,009,431",4.44,"4,071,100",3.13,"352,076",22.52,"1,908,267",0.59,"790,648",44.32,"400,134",14.81,"201,500",3.06,"1,847,783",9.45,"1,166,762",9.66,"28,199,308",3.65,"334,761",9.96,"2,754,467",15.42,"6,589,738",12.20,"4,346,130",3.01,"7,461,145",-4.14,"2,227,332",-1.92,"4,483,951",2.70,"1,784",-10.84,"1,021,350",2.97,"3,131,006",7.84,"9,661,812",15.16,"754,582",-6.02,"3,490,784",-10.02,"-3,246,346",--
2010M07,"46,440,161",6.65,"18,308,389",7.87,"20,363,395",5.31,"1,464,784",3.94,"773,009",-0.41,"18,125,602",5.68,"4,033,260",3.39,"357,898",34.53,"2,000,633",1.24,"772,008",42.15,"401,894",14.02,"202,684",3.99,"1,927,333",17.06,"1,166,913",9.26,"28,401,544",3.87,"369,810",27.92,"2,699,402",14.33,"6,750,669",11.02,"4,308,309",2.63,"7,481,388",-3.43,"2,256,129",0.42,"4,534,155",2.63,"1,682",-12.12,"1,040,383",4.93,"3,136,144",7.88,"9,762,653",15.19,"751,480",-5.16,"3,699,933",-6.45,"-3,446,222",--
2010M08,"46,913,576",6.89,"18,521,785",6.97,"20,541,581",5.72,"1,478,750",-1.21,"776,579",1.56,"18,286,252",6.51,"4,068,835",5.25,"370,213",39.41,"2,023,200",6.17,"786,350",44.27,"401,642",9.39,"199,970",1.87,"2,136,794",18.16,"1,160,995",8.18,"28,491,504",4.43,"336,640",9.81,"2,838,832",15.00,"6,796,179",11.65,"4,267,710",5.18,"7,483,568",-2.85,"2,255,425",0.55,"4,511,584",2.18,"1,566",-19.49,"1,020,705",3.35,"3,122,398",5.87,"9,877,954",15.49,"759,515",-4.27,"3,696,432",-9.08,"-3,352,721",--
2010M09,"47,045,778",6.82,"18,588,749",7.49,"20,554,034",5.47,"1,441,940",-1.46,"788,410",6.52,"18,323,684",6.01,"4,082,584",4.44,"350,263",32.38,"2,081,261",5.23,"775,178",42.76,"412,810",10.89,"200,899",4.23,"2,099,276",14.30,"1,168,941",9.08,"28,632,537",4.69,"321,247",7.14,"2,728,374",13.65,"6,974,135",11.53,"4,214,641",4.55,"7,492,368",-2.29,"2,384,986",4.92,"4,515,387",2.15,"1,399",-39.01,"1,086,967",5.72,"3,062,141",3.01,"9,975,050",15.35,"764,862",-3.42,"3,678,327",-7.32,"-3,422,323",--
2010M10,"47,134,778",6.08,"18,487,578",4.62,"20,650,389",6.43,"1,428,167",4.12,"793,862",10.64,"18,428,360",6.44,"4,132,343",4.25,"353,917",24.34,"2,105,758",7.16,"785,589",39.05,"416,586",8.01,"202,618",4.04,"1,968,666",11.09,"1,175,221",8.78,"28,900,222",4.84,"359,949",9.64,"2,733,391",7.21,"6,984,407",9.31,"4,314,062",7.01,"7,483,590",-1.51,"2,505,382",11.83,"4,517,742",2.08,"1,699",-30.74,"1,037,294",2.04,"3,047,437",0.12,"10,053,182",15.00,"762,297",-4.67,"3,701,039",-10.88,"-3,510,580",--
